7	70178	escalators
32	320019	must
9	90252	invoicing machines
28	280160	mah-jong
12	120039	inclined ways for boats
11	110156	refrigerating chambers
16	160119	decalcomanias
30	300261	buckwheat flour
41	410189	coaching [training]
3	30095	incense
8	80067	borers
6	60054	flanges of metal [collars]
19	190125	cask wood
22	220092	plastic fibers for textile use
13	130001	acetyl-nitrocellulose
16	160178	printing sets, portable [office requisites]
12	120063	barges
11	110318	swimming pool chlorinating apparatus
9	90651	video game cartridges
19	190058	cement posts
30	300013	unleavened bread
20	200015	medicine cabinets
24	240052	frieze [cloth]
1	10224	leather-impregnating chemicals
37	370115	building of fair stalls and shops
24	240080	pillowcases
12	120013	non-skid devices for vehicle tyres
26	260012	whalebones for corsets
39	390008	car rental
16	160190	luminous paper
3	30102	make-up
10	100170	feeding bottle teats
5	50026	preparations for destroying dry rot fungus
12	120265	tilt trucks
2	20028	wood stains
43	430138	bar services
37	370066	parasol repair
6	60464	brackets of metal for furniture
22	220088	sash cords
11	110118	light diffusers
28	280169	masts for sailboards
20	200110	fans for personal use, non-electric
1	10308	chemical additives to insecticides
7	70428	drill chucks [parts of machines]
7	70553	kitchen grinders, electric
25	250153	masquerade costumes
34	340010	books of cigarette papers
44	440019	Turkish bath services
16	160345	credit card imprinters, non-electric
39	390054	towing
11	110021	light bulbs
7	70579	hydrogen dispensing pumps for service stations
21	210135	mops*
19	190040	binding agents for making briquettes
36	360033	apartment house management
11	110213	refrigerating appliances and installations
30	300210	ham glaze
20	200196	trestles [furniture]
5	50117	depuratives
7	70461	hydraulic engines and motors
12	120016	sprinkling trucks
11	110306	warming pans
12	120105	dredgers [boats]
21	210380	horsehair for brush-making
22	220076	textile fibers
7	70310	air pumps [garage installations]
21	210234	works of art of porcelain, ceramic, earthenware, terra-cotta or glass
20	200031	bottle racks
40	400102	services of a dental technician
39	390081	rental of vehicle roof racks
8	80013	palette knives
11	110191	malt roasters
25	250070	sashes for wear
21	210194	garbage cans
4	40059	kerosene
11	110147	filters for drinking water
3	30091	scented water
42	420239	monitoring of computer systems to detect breakdowns
37	370004	elevator installation and repair
11	110296	heating cushions, electric, not for medical purposes
5	50144	flour for pharmaceutical purposes
41	410210	sado instruction [tea ceremony instruction]
9	90325	letter scales
31	310068	plant seeds
8	80252	eyelash curlers
37	370080	re-tinning
11	110249	anti-glare devices for vehicles [lamp fittings]
7	70220	printing rollers for machines
9	90525	cash registers
5	50114	dressings, medical
20	200292	jewellery organizer displays
1	10060	ammoniacal salts
20	200268	wind chimes [decoration]
28	280044	body-training apparatus
9	90054	distribution boxes [electricity]
21	210085	glasses [receptacles]
24	240027	felt*
1	10079	glutinous preparations for tree-banding
1	10440	lead acetate
1	10084	arsenic
6	60278	works of art of common metal
36	360060	providing insurance information
14	140063	gold, unwrought or beaten
2	20080	engraving ink
20	200064	tailors' dummies
14	140046	ivory jewelry
4	40047	petroleum jelly for industrial purposes
20	200093	mobile boarding stairs, not of metal, for passengers
1	10661	enzymes for the food industry
21	210403	animal grooming gloves
8	80064	spanners [hand tools]
1	10498	strontium
9	90481	thermostats for vehicles
25	250022	camisoles
44	440207	aquaculture services
30	300162	chow-chow [condiment]
20	200092	ladders of wood or plastics
1	10310	formic acid
30	300204	chocolate mousses
29	290187	peanut milk for culinary purposes
19	190209	door frames, not of metal
10	100234	sex toys
10	100036	stretchers, wheeled
3	30063	cosmetics for animals
19	190110	binding material for road repair
11	110319	thermostatic valves [parts of heating installations]
5	50022	asthmatic tea
4	40042	lubricating oil
9	90613	monitors [computer programs]
30	300170	sushi
20	200043	index cabinets [furniture]
19	190157	joists, not of metal
37	370032	clothing repair
24	240039	linings [textile]
7	70320	steam traps
9	90746	electronic collars to train animals
30	300197	hominy
26	260051	crochet hooks
6	60436	arbours [structures] of metal
14	140024	chains [jewellery]
2	20091	mastic [natural resin]
29	290093	pectin for culinary purposes
37	370085	vehicle maintenance
19	190241	duckboards, not of metal
28	280242	toy dough
1	10359	hydrogen
9	90837	ticket printers
1	10203	adhesives for paperhanging
1	10512	tapioca flour for industrial purposes
12	120112	safety seats for children, for vehicles
30	300056	allspice
1	10160	ceramic glazings
9	90143	circuit closers
9	90174	shutter releases [photography]
40	400101	vulcanization [material treatment]
3	30147	make-up powder
39	390065	removal services
31	310138	pet food
36	360105	financial evaluation of standing timber
37	370146	installation of utilities in construction sites
5	50413	babies' nappy-pants
1	10158	cement [metallurgy]
1	10370	china slip
9	90421	X-ray tubes not for medical purposes
41	410017	educational services
21	210308	fused silica [semi-worked product], other than for building
25	250037	sock suspenders
1	10503	sulfuric acid
11	110264	flues for heating boilers
12	120056	caravans
1	10044	chemical substances for preserving foodstuffs
7	70021	crank shafts
6	60174	manganese
29	290058	maize oil for food
9	90310	inverters [electricity]
40	400059	textile mothproofing
13	130048	shells [projectiles]
1	10425	persulfuric acid
