Class,Basic No.,"EN - Goods and Services
NCL(11-2020)","FR - Produits et services
NCL(11-2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010001,combusting preparations [chemical additives to motor fuel],comburants [additifs chimiques pour carburants],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010002,adhesives for industrial purposes,adhésifs [matières collantes] pour l'industrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010002,,matières collantes pour l'industrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010003,"salt for preserving, other than for foodstuffs","sel pour conserver, autre que pour les aliments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010004,auxiliary fluids for use with abrasives,fluides auxiliaires pour abrasifs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010005,vulcanization accelerators,accélérateurs de vulcanisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010006,anti-frothing solutions for batteries,solutions pour prévenir la formation d'écume dans les accumulateurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010006,anti-frothing solutions for accumulators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010007,acetates [chemicals]*,acétates [produits chimiques]*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010008,"acetate of cellulose, unprocessed",acétate de cellulose à l'état brut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010009,bacteriological preparations for acetification,préparations bactériologiques pour l'acétification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010010,acetic anhydride,anhydride acétique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010011,acetone,acétone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010012,acetylene,acétylène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010013,acetylene tetrachloride,tétrachlorure d'acétylène,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010014,acids*,acides*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,010015,chemical condensation preparations,produits chimiques de condensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
